"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-pop"
"03/04/2017 12:00:48:448 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of social-system 0"
"148","0.1","1.0E-6","0.94","1","0","1.13","1.0E-4","4.0E-7","1","9946","25216.72443242751"
"149","0.1","1.0E-6","0.94","1","0","1.14","1.0E-4","4.0E-7","1","11054","23173.03248021091"
"151","0.1","1.0E-6","0.94","1","0","1.16","1.0E-4","4.0E-7","1","12829","19630.28120986401"
"152","0.1","1.0E-6","0.94","1","0","1.17","1.0E-4","4.0E-7","1","14715","18096.462254748865"
"150","0.1","1.0E-6","0.94","1","0","1.15","1.0E-4","4.0E-7","1","11328","21316.96246369245"
"153","0.1","1.0E-6","0.94","1","0","1.18","1.0E-4","4.0E-7","1","15582","16700.570183729178"
"154","0.1","1.0E-6","0.94","1","0","1.19","1.0E-4","4.0E-7","1","18224","15429.136989657267"
"155","0.1","1.0E-6","0.94","1","0","1.2","1.0E-4","4.0E-7","1","18878","14270.03724993386"
"157","0.1","1.0E-6","0.95","1","0","0.91","1.0E-4","4.0E-7","1","27795","103232.49654094217"
"159","0.1","1.0E-6","0.95","1","0","0.93","1.0E-4","4.0E-7","1","17587","111751.79906442837"
"158","0.1","1.0E-6","0.95","1","0","0.92","1.0E-4","4.0E-7","1","21984","109676.92904911964"
"160","0.1","1.0E-6","0.95","1","0","0.94","1.0E-4","4.0E-7","1","14259","110550.85146057906"
"163","0.1","1.0E-6","0.95","1","0","0.97","1.0E-4","4.0E-7","1","7948","96227.40465439874"
"161","0.1","1.0E-6","0.95","1","0","0.95","1.0E-4","4.0E-7","1","11496","107061.39431955019"
"162","0.1","1.0E-6","0.95","1","0","0.96","1.0E-4","4.0E-7","1","9516","102083.64145207341"
"165","0.1","1.0E-6","0.95","1","0","0.99","1.0E-4","4.0E-7","1","4061","83528.94802427985"
"166","0.1","1.0E-6","0.95","1","0","1","1.0E-4","4.0E-7","1","4242","77213.62213228032"
"164","0.1","1.0E-6","0.95","1","0","0.98","1.0E-4","4.0E-7","1","6314","89937.94076541373"
"167","0.1","1.0E-6","0.95","1","0","1.01","1.0E-4","4.0E-7","1","4161","71130.69587405122"
"168","0.1","1.0E-6","0.95","1","0","1.02","1.0E-4","4.0E-7","1","4250","65365.01448640439"
"169","0.1","1.0E-6","0.95","1","0","1.03","1.0E-4","4.0E-7","1","4679","59963.22620980638"
"170","0.1","1.0E-6","0.95","1","0","1.04","1.0E-4","4.0E-7","1","4852","54945.46783545732"
"171","0.1","1.0E-6","0.95","1","0","1.05","1.0E-4","4.0E-7","1","4809","50313.91738172746"
"172","0.1","1.0E-6","0.95","1","0","1.06","1.0E-4","4.0E-7","1","5509","46058.965596702554"
"173","0.1","1.0E-6","0.95","1","0","1.07","1.0E-4","4.0E-7","1","5059","42163.61191879638"
"156","0.1","1.0E-6","0.95","1","0","0.9","1.0E-4","4.0E-7","1","35976","91472.50021257711"
"174","0.1","1.0E-6","0.95","1","0","1.08","1.0E-4","4.0E-7","1","6424","38606.554515599186"
"175","0.1","1.0E-6","0.95","1","0","1.09","1.0E-4","4.0E-7","1","6668","35364.329906679355"
"176","0.1","1.0E-6","0.95","1","0","1.1","1.0E-4","4.0E-7","1","7344","32412.767179309"
"179","0.1","1.0E-6","0.95","1","0","1.13","1.0E-4","4.0E-7","1","9539","25067.64321454901"
"178","0.1","1.0E-6","0.95","1","0","1.12","1.0E-4","4.0E-7","1","8473","27286.842700818168"
"180","0.1","1.0E-6","0.95","1","0","1.14","1.0E-4","4.0E-7","1","10392","23050.00550139729"
"181","0.1","1.0E-6","0.95","1","0","1.15","1.0E-4","4.0E-7","1","11042","21215.117170255755"
"177","0.1","1.0E-6","0.95","1","0","1.11","1.0E-4","4.0E-7","1","8013","29727.951940645315"
"182","0.1","1.0E-6","0.95","1","0","1.16","1.0E-4","4.0E-7","1","11303","19545.71130809924"
"183","0.1","1.0E-6","0.95","1","0","1.17","1.0E-4","4.0E-7","1","13109","18026.026054053564"
"184","0.1","1.0E-6","0.95","1","0","1.18","1.0E-4","4.0E-7","1","14322","16641.7329393667"
"186","0.1","1.0E-6","0.95","1","0","1.2","1.0E-4","4.0E-7","1","17845","14228.629682273033"
