"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-bio"
"03/04/2017 13:24:43:447 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of ecosystem 1"
"138","0.1","1.0E-6","1.01","1","0","0.96","1.0E-4","4.0E-7","1","16047","0.6859304558998196"
"139","0.1","1.0E-6","1.02","1","0","0.96","1.0E-4","4.0E-7","1","18402","0.7527212345483968"
"140","0.1","1.0E-6","1.03","1","0","0.96","1.0E-4","4.0E-7","1","21442","0.817910474480547"
"142","0.1","1.0E-6","1.05","1","0","0.96","1.0E-4","4.0E-7","1","28427","0.9242129234800899"
"144","0.1","1.0E-6","1.07","1","0","0.96","1.0E-4","4.0E-7","1","30192","0.9759706197911954"
"143","0.1","1.0E-6","1.06","1","0","0.96","1.0E-4","4.0E-7","1","30387","0.9567567158514882"
"141","0.1","1.0E-6","1.04","1","0","0.96","1.0E-4","4.0E-7","1","25017","0.8768553469808447"
"145","0.1","1.0E-6","1.08","1","0","0.96","1.0E-4","4.0E-7","1","28531","0.9863319975604776"
"146","0.1","1.0E-6","1.09","1","0","0.96","1.0E-4","4.0E-7","1","26299","0.9918281866820609"
"150","0.1","1.0E-6","0.92","1","0","0.97","1.0E-4","4.0E-7","1","6125","0.22387293770143252"
"149","0.1","1.0E-6","0.91","1","0","0.97","1.0E-4","4.0E-7","1","5519","0.19894855578600784"
"147","0.1","1.0E-6","1.1","1","0","0.96","1.0E-4","4.0E-7","1","24065","0.9948322450520928"
"148","0.1","1.0E-6","0.9","1","0","0.97","1.0E-4","4.0E-7","1","5235","0.1767382082389316"
"152","0.1","1.0E-6","0.94","1","0","0.97","1.0E-4","4.0E-7","1","7400","0.28306786359952696"
"151","0.1","1.0E-6","0.93","1","0","0.97","1.0E-4","4.0E-7","1","6755","0.25180814017827335"
"153","0.1","1.0E-6","0.95","1","0","0.97","1.0E-4","4.0E-7","1","7973","0.31797576136514105"
"155","0.1","1.0E-6","0.97","1","0","0.97","1.0E-4","4.0E-7","1","8923","0.40000000000001934"
"154","0.1","1.0E-6","0.96","1","0","0.97","1.0E-4","4.0E-7","1","8535","0.3568533557196877"
"156","0.1","1.0E-6","0.98","1","0","0.97","1.0E-4","4.0E-7","1","9636","0.4476604372235532"
"157","0.1","1.0E-6","0.99","1","0","0.97","1.0E-4","4.0E-7","1","10612","0.4999728900555007"
"158","0.1","1.0E-6","1","1","0","0.97","1.0E-4","4.0E-7","1","11357","0.5568864387270342"
"160","0.1","1.0E-6","1.02","1","0","0.97","1.0E-4","4.0E-7","1","14219","0.6825084623440397"
"161","0.1","1.0E-6","1.03","1","0","0.97","1.0E-4","4.0E-7","1","16268","0.7485966684524471"
"159","0.1","1.0E-6","1.01","1","0","0.97","1.0E-4","4.0E-7","1","12652","0.6180301260430723"
"162","0.1","1.0E-6","1.04","1","0","0.97","1.0E-4","4.0E-7","1","19018","0.8133514751629061"
"163","0.1","1.0E-6","1.05","1","0","0.97","1.0E-4","4.0E-7","1","22296","0.8723629978930739"
"164","0.1","1.0E-6","1.06","1","0","0.97","1.0E-4","4.0E-7","1","25511","0.9204243000574589"
"166","0.1","1.0E-6","1.08","1","0","0.97","1.0E-4","4.0E-7","1","27761","0.9743257023656363"
"169","0.1","1.0E-6","0.9","1","0","0.98","1.0E-4","4.0E-7","1","5626","0.15849462200341485"
"167","0.1","1.0E-6","1.09","1","0","0.97","1.0E-4","4.0E-7","1","26501","0.9853790594670995"
"170","0.1","1.0E-6","0.91","1","0","0.98","1.0E-4","4.0E-7","1","4925","0.1782406685419066"
"168","0.1","1.0E-6","1.1","1","0","0.97","1.0E-4","4.0E-7","1","24626","0.99127345828019"
"171","0.1","1.0E-6","0.92","1","0","0.98","1.0E-4","4.0E-7","1","4925","0.2003936217408456"
"172","0.1","1.0E-6","0.93","1","0","0.98","1.0E-4","4.0E-7","1","4803","0.22522271598889382"
"174","0.1","1.0E-6","0.95","1","0","0.98","1.0E-4","4.0E-7","1","6355","0.28408068279867726"
"175","0.1","1.0E-6","0.96","1","0","0.98","1.0E-4","4.0E-7","1","6863","0.31872842906944066"
"173","0.1","1.0E-6","0.94","1","0","0.98","1.0E-4","4.0E-7","1","5836","0.25301679189420945"
"165","0.1","1.0E-6","1.07","1","0","0.97","1.0E-4","4.0E-7","1","27605","0.9540808154510951"
"176","0.1","1.0E-6","0.97","1","0","0.98","1.0E-4","4.0E-7","1","7528","0.3572715928868929"
"177","0.1","1.0E-6","0.98","1","0","0.98","1.0E-4","4.0E-7","1","7876","0.40000000000001934"
"178","0.1","1.0E-6","0.99","1","0","0.98","1.0E-4","4.0E-7","1","8542","0.44715072342264084"
"181","0.1","1.0E-6","1.02","1","0","0.98","1.0E-4","4.0E-7","1","11216","0.6154608368748613"
"180","0.1","1.0E-6","1.01","1","0","0.98","1.0E-4","4.0E-7","1","10122","0.5550784690806608"
"179","0.1","1.0E-6","1","1","0","0.98","1.0E-4","4.0E-7","1","9312","0.49885869515927855"
"182","0.1","1.0E-6","1.03","1","0","0.98","1.0E-4","4.0E-7","1","12719","0.6791608053865437"
"183","0.1","1.0E-6","1.04","1","0","0.98","1.0E-4","4.0E-7","1","14565","0.7445517150401916"
"184","0.1","1.0E-6","1.05","1","0","0.98","1.0E-4","4.0E-7","1","16951","0.8088563666613934"
"187","0.1","1.0E-6","1.08","1","0","0.98","1.0E-4","4.0E-7","1","25030","0.9513153368748879"
